entry_time,exit_time,direction,entry_price,exit_price,size_usd,pnl,pnl_pct,exit_reason,duration_hours
2026-01-10 10:00:00,2026-01-10 15:00:00,short,136.93,136.35,10000.0,28.357408895056786,0.4235740889505678,rsi_target,0.0
2026-01-16 10:00:00,2026-01-16 15:00:00,short,143.01,140.68,10023.357408895057,149.27352130942458,1.6292566953359795,rsi_target,0.0
2026-01-19 20:00:00,2026-01-19 22:00:00,short,134.62,132.89,10167.619251500033,116.42928569308819,1.285098796612701,rsi_target,0.0
2026-01-26 09:00:00,2026-01-26 16:00:00,short,121.88,124.24,9275.09417976877,-192.58163877860682,-1.9363308171972429,stop_loss,0.0
2026-01-31 03:00:00,2026-01-31 08:00:00,short,118.29,115.52,8038.505306589229,176.98397995983794,2.3417025953166033,rsi_target,0.0
2026-02-01 08:00:00,2026-02-01 13:00:00,short,105.46,104.38,6967.540004404213,61.59897333914549,1.024084961122699,rsi_target,0.0
2026-02-02 17:00:00,2026-02-03 02:00:00,short,104.74,102.35,5644.761015163851,120.90179157935881,2.2818407485201457,rsi_target,0.0
2026-02-06 14:00:00,2026-02-06 22:00:00,short,84.1,89.1,3680.3558315048895,-223.9608115710563,-5.9453032104637344,stop_loss,0.0
2026-02-10 00:00:00,2026-02-10 06:00:00,short,86.36,84.55,7066.654531451272,138.2151216125085,2.0958777211672097,rsi_target,0.0
2026-02-22 08:00:00,2026-02-22 14:00:00,long,84.91,83.6,10339.78568827412,-173.99895107227675,-1.5428100341538127,stop_loss,0.0
2026-02-24 18:00:00,2026-02-25 01:00:00,short,78.14,81.94,9427.742496228604,-471.6762068567455,-4.863066291272072,stop_loss,0.0
2026-03-03 05:00:00,2026-03-03 13:00:00,long,85.73,83.56,6566.781157848599,-175.41202986887643,-2.5312026128543117,stop_loss,0.0
2026-03-12 08:00:00,2026-03-12 12:00:00,long,85.9,87.2,9505.531345805046,130.54779452735758,1.5133876600698453,rsi_target,0.0
2026-03-14 02:00:00,2026-03-14 09:00:00,long,88.18,86.78,7990.635104868726,-138.0511344044286,-1.5876616012701357,stop_loss,0.0
2026-03-17 10:00:00,2026-03-17 17:00:00,long,93.52,94.51,7794.306409784267,71.59827198531076,1.058597091531233,rsi_target,0.0
