timestamp,open,high,low,close,volume
2026-02-27 10:00:00,86.26,86.45,84.5,84.65,1781115.68
2026-02-27 11:00:00,84.66,84.9,83.27,83.53,1916895.76
2026-02-27 12:00:00,83.52,83.71,82.56,83.05,1675399.83
2026-02-27 13:00:00,83.06,83.5,81.89,83.01,2748887.67
2026-02-27 14:00:00,83.01,83.31,82.03,82.32,1921458.88
2026-02-27 15:00:00,82.32,83.03,82.24,82.64,1528066.22
2026-02-27 16:00:00,82.63,82.64,81.24,81.29,1990173.07
2026-02-27 17:00:00,81.29,81.88,81.05,81.78,1502750.75
2026-02-27 18:00:00,81.78,81.99,81.35,81.45,873210.43
2026-02-27 19:00:00,81.45,81.69,81.08,81.52,528282.46
2026-02-27 20:00:00,81.52,81.84,81.17,81.41,813862.36
2026-02-27 21:00:00,81.41,81.79,80.81,81.17,854947.62
2026-02-27 22:00:00,81.16,81.56,80.26,81.38,1074371.05
2026-02-27 23:00:00,81.39,82.07,81.3,81.8,868734.68
2026-02-28 00:00:00,81.8,82.1,81.53,82.06,593992.68
2026-02-28 01:00:00,82.07,82.22,81.66,81.73,472456.19
2026-02-28 02:00:00,81.72,82.15,81.64,82.07,288857.55
2026-02-28 03:00:00,82.08,82.08,81.47,81.69,405773.79
2026-02-28 04:00:00,81.68,81.85,81.15,81.59,556507.65
2026-02-28 05:00:00,81.59,81.76,81.23,81.5,305479.48
2026-02-28 06:00:00,81.49,81.5,77.06,77.48,5409398.42
2026-02-28 07:00:00,77.48,79.64,77.06,78.63,3642919.91
2026-02-28 08:00:00,78.64,78.67,77.78,77.95,1339541.87
2026-02-28 09:00:00,77.94,78.66,77.67,78.34,1091045.54
2026-02-28 10:00:00,78.34,79.11,77.91,79.05,1361416.55
2026-02-28 11:00:00,79.04,79.53,78.58,78.71,1090404.13
2026-02-28 12:00:00,78.71,79.16,78.55,78.86,660914.51
2026-02-28 13:00:00,78.87,80.95,78.63,80.75,2646939.27
2026-02-28 14:00:00,80.75,81.46,79.96,80.19,2878427.86
2026-02-28 15:00:00,80.19,81.1,79.54,80.87,1584965.54
2026-02-28 16:00:00,80.86,81.29,80.43,81.02,970543.06
2026-02-28 17:00:00,81.01,81.48,80.52,81.33,748729.05
2026-02-28 18:00:00,81.32,82.87,81.03,82.29,1678723.02
2026-02-28 19:00:00,82.29,82.73,81.39,82.15,1735733.21
2026-02-28 20:00:00,82.15,85.0,81.9,84.83,2775661.69
2026-02-28 21:00:00,84.83,85.02,83.53,84.44,1561938.64
2026-02-28 22:00:00,84.44,85.63,84.2,84.25,1070480.07
2026-02-28 23:00:00,84.25,84.69,83.87,84.29,746698.85
2026-03-01 00:00:00,84.29,84.98,84.27,84.82,848678.89
2026-03-01 01:00:00,84.83,87.48,84.22,86.7,2453817.86
2026-03-01 02:00:00,86.7,88.88,86.69,87.92,2965944.71
2026-03-01 03:00:00,87.92,88.3,87.59,87.98,1067198.95
2026-03-01 04:00:00,87.99,88.23,86.83,87.5,1457454.08
2026-03-01 05:00:00,87.51,87.99,87.16,87.23,673374.61
2026-03-01 06:00:00,87.23,87.36,86.11,86.63,1440528.36
2026-03-01 07:00:00,86.63,86.86,86.23,86.58,639947.52
2026-03-01 08:00:00,86.59,86.79,85.01,85.17,1274315.28
2026-03-01 09:00:00,85.18,85.83,84.77,84.96,1348849.85
2026-03-01 10:00:00,84.96,85.63,84.67,85.18,1008455.63
2026-03-01 11:00:00,85.18,85.48,84.94,85.13,460051.91
2026-03-01 12:00:00,85.13,85.36,84.72,84.84,654620.77
2026-03-01 13:00:00,84.83,86.95,84.46,86.02,2149306.17
2026-03-01 14:00:00,86.03,86.86,85.37,85.75,1509617.49
2026-03-01 15:00:00,85.74,86.64,85.56,85.61,1133059.71
2026-03-01 16:00:00,85.61,86.05,83.51,83.96,2499321.11
2026-03-01 17:00:00,83.97,84.26,83.14,83.85,1816607.42
2026-03-01 18:00:00,83.85,84.99,83.8,83.89,1419989.39
2026-03-01 19:00:00,83.9,83.98,82.98,83.19,847167.85
2026-03-01 20:00:00,83.19,83.24,81.64,81.93,1805955.21
2026-03-01 21:00:00,81.93,82.98,81.88,82.89,947305.14
2026-03-01 22:00:00,82.9,84.17,82.32,82.68,1702756.06
2026-03-01 23:00:00,82.68,84.03,82.45,83.55,1223829.16
2026-03-02 00:00:00,83.55,85.19,83.43,84.95,1380719.13
2026-03-02 01:00:00,84.94,86.14,84.35,84.58,1371014.45
2026-03-02 02:00:00,84.59,84.74,83.41,84.11,1045307.76
2026-03-02 03:00:00,84.11,85.09,83.78,84.74,888994.62
2026-03-02 04:00:00,84.73,84.8,84.03,84.25,656636.45
2026-03-02 05:00:00,84.25,84.65,83.79,84.17,557559.86
2026-03-02 06:00:00,84.18,84.2,82.82,83.18,1195253.58
2026-03-02 07:00:00,83.19,83.25,82.32,82.9,975137.82
2026-03-02 08:00:00,82.9,83.6,82.3,83.4,1280919.12
2026-03-02 09:00:00,83.39,84.09,83.27,83.6,1098802.97
2026-03-02 10:00:00,83.6,84.08,83.31,83.85,929021.69
2026-03-02 11:00:00,83.85,84.28,83.41,83.85,836394.83
2026-03-02 12:00:00,83.84,84.11,83.52,83.64,598199.0
2026-03-02 13:00:00,83.63,83.8,82.85,83.03,1203103.35
2026-03-02 14:00:00,83.02,85.91,82.72,85.61,3413306.1
2026-03-02 15:00:00,85.6,88.96,85.41,88.74,5664800.2
2026-03-02 16:00:00,88.74,90.32,88.41,88.82,4017038.98
2026-03-02 17:00:00,88.81,88.96,86.36,87.57,2762170.99
2026-03-02 18:00:00,87.57,87.82,86.65,87.28,1281748.54
2026-03-02 19:00:00,87.27,87.75,86.78,87.62,1068399.75
2026-03-02 20:00:00,87.61,88.04,86.8,87.5,1290229.15
2026-03-02 21:00:00,87.5,87.71,87.09,87.49,868841.36
2026-03-02 22:00:00,87.49,88.19,87.18,87.98,639591.86
2026-03-02 23:00:00,87.99,88.04,86.27,86.59,1206970.07
