timestamp,equity,position,price
2024-03-15 07:00:00+00:00,10000.0,0.0,68532.8203125
2024-03-15 08:00:00+00:00,10000.0,0.0,67223.84375
2024-03-15 09:00:00+00:00,10000.0,0.0,67686.1953125
2024-03-15 10:00:00+00:00,10000.0,0.0,67355.96875
2024-03-15 11:00:00+00:00,10000.0,0.0,67783.6171875
2024-03-15 12:00:00+00:00,10000.0,0.0,67887.7265625
2024-03-15 13:00:00+00:00,10000.0,0.0,68317.484375
2024-03-15 14:00:00+00:00,10000.0,0.0,68465.0
2024-03-15 15:00:00+00:00,10000.0,0.0,68181.546875
2024-03-15 16:00:00+00:00,10000.0,0.0,67934.15625
2024-03-15 17:00:00+00:00,10000.0,0.0,68235.140625
2024-03-15 18:00:00+00:00,10000.0,0.0,70252.0546875
2024-03-15 19:00:00+00:00,10000.0,0.0,68679.7265625
2024-03-15 20:00:00+00:00,10000.0,0.0,67839.65625
2024-03-15 21:00:00+00:00,10000.0,0.0,68253.4296875
2024-03-15 22:00:00+00:00,10000.0,0.0,69113.234375
2024-03-15 23:00:00+00:00,10000.0,0.0,69522.7265625
2024-03-16 00:00:00+00:00,10000.0,0.0,69728.1171875
2024-03-16 01:00:00+00:00,10000.0,0.0,69238.5703125
2024-03-16 02:00:00+00:00,10000.0,0.0,69155.640625
2024-03-16 03:00:00+00:00,10000.0,0.0,69259.125
2024-03-16 04:00:00+00:00,10000.0,0.0,69009.671875
2024-03-16 05:00:00+00:00,10000.0,0.0,69036.828125
2024-03-16 06:00:00+00:00,10000.0,0.0,69180.2890625
2024-03-16 07:00:00+00:00,10000.0,0.0,69384.0234375
2024-03-16 08:00:00+00:00,10000.0,0.0,68970.7890625
2024-03-16 09:00:00+00:00,10000.0,0.0,68969.484375
2024-03-16 10:00:00+00:00,10000.0,0.0,68400.6640625
2024-03-16 11:00:00+00:00,10000.0,0.0,68327.2421875
2024-03-16 12:00:00+00:00,10769.308578327405,-0.8353183019545143,67939.953125
2024-03-16 13:00:00+00:00,10185.258410284856,0.0,67722.3671875
2024-03-16 14:00:00+00:00,10185.258410284856,0.0,68126.0390625
2024-03-16 15:00:00+00:00,10185.258410284856,0.0,68373.703125
2024-03-16 16:00:00+00:00,10185.258410284856,0.0,68153.4375
