Asset,Symbol,Total Return,Sharpe,Max DD,Win Rate,Trades,Profit Factor
Ethereum,ETH-USD,488.37%,1.343,-41.21%,58.3%,967,1.16
Solana,SOL-USD,3186.22%,1.943,-42.24%,60.8%,1019,1.31
