entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_size,pnl,pnl_pct,exit_reason
2024-03-16 12:00:00+00:00,2024-03-16 13:00:00+00:00,SHORT,68860.9296875,68501.78515625,69100.359375,68501.78515625,0.8353183019545143,185.2584102848566,1.852584102848566,take_profit
2024-03-16 17:00:00+00:00,2024-03-16 18:00:00+00:00,SHORT,67915.59375,67126.08984375,68441.9296875,67126.08984375,0.38702500378989824,253.2932442038804,2.532932442038804,take_profit
2024-03-19 04:00:00+00:00,2024-03-19 05:00:00+00:00,SHORT,66610.125,65385.796875,67426.34375,65385.796875,0.2557782862618321,279.3948589439239,2.793948589439239,take_profit
2024-03-19 07:00:00+00:00,2024-03-19 08:00:00+00:00,SHORT,65005.94140625,63584.884765625,65953.3125,63584.884765625,0.22626712138761962,292.44251932821385,2.9244251932821386,take_profit
2024-03-21 18:00:00+00:00,2024-03-21 19:00:00+00:00,SHORT,67526.2578125,66515.65625,68199.9921875,66515.65625,0.3268465864684691,286.5005289277982,2.865005289277982,take_profit
2024-03-22 09:00:00+00:00,2024-03-22 10:00:00+00:00,LONG,65867.28125,64689.1484375,64668.0703125,67666.09765625,0.18840537904431298,-246.56409272555067,-2.4656409272555067,signal_exit
2024-03-22 10:00:00+00:00,2024-03-22 11:00:00+00:00,SHORT,66326.125,65894.8046875,66613.671875,65894.8046875,0.7685929794203552,229.88568577864876,2.2988568577864874,take_profit
2024-03-23 08:00:00+00:00,2024-03-23 09:00:00+00:00,LONG,63196.54296875,64082.4921875,62605.91015625,64082.4921875,0.38197035166385274,289.78951682418443,2.8978951682418446,take_profit
2024-03-24 01:00:00+00:00,2024-03-24 02:00:00+00:00,SHORT,65497.625,64812.04296875,65954.6796875,64812.04296875,0.5062851771568783,281.12616681416614,2.8112616681416616,take_profit
2024-03-25 12:00:00+00:00,2024-03-25 13:00:00+00:00,LONG,66947.1015625,67642.75,66483.3359375,67642.75,0.5110825899776476,286.74727523013405,2.8674727523013406,take_profit
2024-03-25 13:00:00+00:00,2024-03-25 14:00:00+00:00,LONG,67729.125,68330.94140625,67327.9140625,68330.94140625,0.6050619750918558,281.811450897413,2.8181145089741304,take_profit
2024-03-26 08:00:00+00:00,2024-03-26 09:00:00+00:00,LONG,70204.0625,70857.9453125,69768.140625,70857.9453125,0.5698124492838387,292.2116787626934,2.9221167876269343,take_profit
2024-03-27 01:00:00+00:00,2024-03-27 02:00:00+00:00,SHORT,70477.5859375,70561.4296875,71511.5234375,68926.6796875,0.24589295278042167,-55.29708726895876,-0.5529708726895877,signal_exit
2024-03-27 07:00:00+00:00,2024-03-27 08:00:00+00:00,LONG,70249.984375,69682.8046875,69682.8046875,71100.75390625,0.4462994862100524,-315.58393498256146,-3.155839349825615,stop_loss
2024-03-27 15:00:00+00:00,2024-03-27 16:00:00+00:00,SHORT,69933.8359375,69578.21875,70170.9140625,69578.21875,1.0410927807885135,224.98549366243665,2.2498549366243665,take_profit
2024-03-27 21:00:00+00:00,2024-03-27 22:00:00+00:00,SHORT,68518.625,69270.34375,69270.34375,67391.046875,0.3343272125294541,-297.3866361331211,-2.9738663613312113,stop_loss
2024-03-28 06:00:00+00:00,2024-03-28 07:00:00+00:00,LONG,69552.1796875,70274.37109375,69070.71875,70274.37109375,0.5096411410758803,296.79708946358386,2.9679708946358385,take_profit
2024-03-28 13:00:00+00:00,2024-03-28 14:00:00+00:00,LONG,70861.5859375,71365.9609375,70525.3359375,71365.9609375,0.7473851103650104,270.6636142222356,2.7066361422223557,take_profit
2024-03-29 06:00:00+00:00,2024-03-29 07:00:00+00:00,SHORT,70709.7421875,70179.29296875,71063.375,70179.29296875,0.7259550204908642,282.80317106322565,2.8280317106322563,take_profit
2024-03-30 15:00:00+00:00,2024-03-30 16:00:00+00:00,LONG,69960.109375,70189.08203125,69807.4609375,70189.08203125,1.7188356681734396,152.67293954418702,1.5267293954418701,take_profit
2024-03-30 22:00:00+00:00,2024-03-30 23:00:00+00:00,SHORT,69992.578125,69717.97265625,70175.6484375,69717.97265625,1.4498857528132953,195.58221968980882,1.9558221968980882,take_profit
