exchange,symbol,funding_rate,annualized_yield,mark_price,next_funding,timestamp
bybit,SOL,6.09e-05,6.66855,89.62,1773993600000,2026-03-20 09:44:09
bybit,ETH,3.499e-05,3.831405,2158.45,1773993600000,2026-03-20 09:44:09
binance,BTC,1.189e-05,1.3019550000000002,70539.7262971,1773993600000,2026-03-20 09:44:06
binance,SOL,3.74e-06,0.40953000000000006,89.62330101,1773993600000,2026-03-20 09:44:06
bybit,BTC,-6.49e-06,-0.7106549999999999,70549.5,1773993600000,2026-03-20 09:44:09
okx,BTC,-2.71809471706e-05,-2.9763137151806998,,1773993600000,2026-03-20 09:44:11
okx,SOL,-3.20623372234e-05,-3.5108259259623007,,1773993600000,2026-03-20 09:44:11
okx,ETH,-6.41076322797e-05,-7.019785734627152,,1773993600000,2026-03-20 09:44:11
binance,ETH,-7.145e-05,-7.823775000000001,2157.79186047,1773993600000,2026-03-20 09:44:06
