entry_time,exit_time,direction,entry_price,exit_price,size_usd,pnl,pnl_pct,exit_reason
2021-01-09 02:00:00,2021-01-09 09:00:00,long,3.081,3.2921,1631.0833806012486,109.47295897145025,6.85167153521584,rsi_target
2021-01-18 22:00:00,2021-01-19 02:00:00,long,3.8111,3.8817,3887.778129907029,66.57756034955555,1.8524835349374138,rsi_target
2021-01-31 22:00:00,2021-02-01 10:00:00,long,4.264,4.342,3388.4103376835437,57.23934146047812,1.829268292682913,rsi_target
2021-02-09 16:00:00,2021-02-10 00:00:00,long,7.6561,7.9893,3084.4898081188044,129.92134071880866,4.3520852653439706,rsi_target
2021-02-11 21:00:00,2021-02-12 01:00:00,long,8.9584,9.1732,3791.858855713959,85.61067807701383,2.3977495981425294,rsi_target
2021-02-13 02:00:00,2021-02-13 04:00:00,long,9.2727,9.4786,5012.8280319284595,104.29172313196159,2.2204967269511546,rsi_target
2021-02-16 08:00:00,2021-02-16 14:00:00,long,8.776,8.4667,4940.764321838184,-181.0486111563793,-3.5243846855059298,stop_loss
2021-02-17 18:00:00,2021-02-18 05:00:00,short,8.2708,8.6048,4685.012617539764,-195.7540428444995,-4.038303428930692,stop_loss
2021-02-19 05:00:00,2021-02-19 06:00:00,long,8.6278,9.3211,5578.361604883888,440.44803044919087,8.035652194070318,take_profit
2021-02-20 13:00:00,2021-02-20 23:00:00,long,10.7215,9.9869,3857.063175748602,-269.67248173102917,-6.851653220165092,stop_loss
2021-02-22 07:00:00,2021-02-22 10:00:00,long,10.6552,9.7201,4025.111765520506,-358.87883204217565,-8.775996696448685,stop_loss
2021-02-25 08:00:00,2021-02-25 21:00:00,long,15.8489,14.4578,2933.734438888309,-261.6088830887583,-8.777265299169027,stop_loss
2021-03-08 07:00:00,2021-03-08 16:00:00,long,13.3156,13.6023,6178.41054156805,124.3784254181061,2.153113641142718,rsi_target
2021-03-23 01:00:00,2021-03-23 05:00:00,long,15.2042,14.5391,4210.750183443081,-190.0921765119338,-4.374449165362207,stop_loss
2021-03-30 19:00:00,2021-03-31 07:00:00,long,19.2805,18.5801,5272.149075558819,-198.90162344717328,-3.6326858743289767,stop_loss
2021-04-26 22:00:00,2021-04-27 01:00:00,long,44.21,45.978,3141.754132994019,121.24328380063098,3.9990952273241365,rsi_target
2021-05-20 13:00:00,2021-05-21 05:00:00,short,43.232,44.213,1486.3385792654542,-35.80816273828966,-2.2691524796447116,rsi_target
2021-05-24 06:00:00,2021-05-24 19:00:00,short,27.607,31.925,1390.940391389952,-219.50375549538012,-15.640960625928212,stop_loss
2021-06-12 16:00:00,2021-06-13 02:00:00,short,36.959,36.425,3321.2132099565533,43.3366608263027,1.4448442869125409,rsi_target
2021-06-14 10:00:00,2021-06-14 15:00:00,long,37.486,39.862,5141.384234455639,318.6818289465053,6.338366323427426,rsi_target
2021-08-01 13:00:00,2021-08-01 19:00:00,long,35.08,35.532,5261.429531430926,60.42664826280313,1.2884834663625948,rsi_target
2021-08-17 21:00:00,2021-08-18 06:00:00,long,64.3,69.069,1921.866920326379,139.85034032455258,7.41679626749612,rsi_target
